codigo,serie,data,valor,unidade
20541,saldo_credito_pf,01/01/2021,2252298,R$ milhões
20541,saldo_credito_pf,01/02/2021,2269640,R$ milhões
20541,saldo_credito_pf,01/03/2021,2295877,R$ milhões
20541,saldo_credito_pf,01/04/2021,2320817,R$ milhões
20541,saldo_credito_pf,01/05/2021,2360372,R$ milhões
20541,saldo_credito_pf,01/06/2021,2397429,R$ milhões
20541,saldo_credito_pf,01/07/2021,2438686,R$ milhões
20541,saldo_credito_pf,01/08/2021,2495054,R$ milhões
20541,saldo_credito_pf,01/09/2021,2546936,R$ milhões
20541,saldo_credito_pf,01/10/2021,2601017,R$ milhões
20541,saldo_credito_pf,01/11/2021,2664395,R$ milhões
20541,saldo_credito_pf,01/12/2021,2708461,R$ milhões
25353,icc_pf,01/01/2021,21.49,% a.a.
25353,icc_pf,01/02/2021,21.74,% a.a.
25353,icc_pf,01/03/2021,21.69,% a.a.
25353,icc_pf,01/04/2021,21.72,% a.a.
25353,icc_pf,01/05/2021,21.59,% a.a.
25353,icc_pf,01/06/2021,21.56,% a.a.
25353,icc_pf,01/07/2021,21.45,% a.a.
25353,icc_pf,01/08/2021,21.53,% a.a.
25353,icc_pf,01/09/2021,21.73,% a.a.
25353,icc_pf,01/10/2021,21.96,% a.a.
25353,icc_pf,01/11/2021,22.10,% a.a.
25353,icc_pf,01/12/2021,22.11,% a.a.
4189,selic_anualizada,01/01/2021,1.90,% a.a.
4189,selic_anualizada,01/02/2021,1.90,% a.a.
4189,selic_anualizada,01/03/2021,2.23,% a.a.
4189,selic_anualizada,01/04/2021,2.65,% a.a.
4189,selic_anualizada,01/05/2021,3.29,% a.a.
4189,selic_anualizada,01/06/2021,3.76,% a.a.
4189,selic_anualizada,01/07/2021,4.15,% a.a.
4189,selic_anualizada,01/08/2021,5.01,% a.a.
4189,selic_anualizada,01/09/2021,5.43,% a.a.
4189,selic_anualizada,01/10/2021,6.30,% a.a.
4189,selic_anualizada,01/11/2021,7.65,% a.a.
4189,selic_anualizada,01/12/2021,8.76,% a.a.
